shooterId,goalieId,blockerId,teamId,x,y,time,type,shot_type,gameId,awayNumPlayers,awayFwdIds,awayDefIds,awayGoalieIds,homeFwdIds,homeDefIds,homeGoalieIds,homeNumPlayers,scenario,pred,xgoals
8482073,0,0,3,-69.0,5.0,2537,MISSED_SHOT,none,2021030143,6,8476458_8477429_8478550,8475747_8482073,8480382,8471215_8477953_8478046,8477244_8477969,8475839,6,5on5,0.0,0.0
8476459,8475839,0,3,-62.0,-14.0,2592,SHOT,Slap Shot,2021030143,6,8475184_8476458_8476459_8478550,8479323,8480382,8470619_8475810,8471724_8477969,8475839,5,5on4,0.12401339012100665,0.12401339012100665
8479323,0,8470619,3,-56.0,4.0,2604,BLOCKED_SHOT,none,2021030143,6,8475184_8476458_8476459_8478550,8479323,8480382,8470619_8475810,8471724_8477969,8475839,5,5on4,0.0,0.0
8476459,8475839,0,3,-83.0,-13.0,2641,SHOT,Snap Shot,2021030143,6,8475184_8476458_8476459_8478550,8479323,8480382,8470619_8475810,8471724_8477969,8475839,5,5on4,0.14666280106707763,0.14666280106707763
8476458,0,8470619,3,-78.0,-5.0,2645,BLOCKED_SHOT,none,2021030143,6,8475184_8476458_8476459_8478550,8479323,8480382,8470619_8475810,8471724_8477969,8475839,5,5on4,0.0,0.0
8478550,0,0,3,-56.0,13.0,2662,MISSED_SHOT,none,2021030143,6,8475184_8476458_8476459_8478550,8479323,8480382,8470619_8471215_8475810,8471724_8477969,8475839,6,5on5,0.0,0.0
8477404,8480382,0,5,73.0,16.0,2700,SHOT,Wrist Shot,2021030143,6,8477429_8478366_8479291,8476885_8480817,8480382,8471675_8477404_8478542,8476875_8478507,8475839,6,5on5,0.11237196359364454,0.11237196359364454
8471675,8480382,0,5,82.0,-6.0,2721,SHOT,Wrist Shot,2021030143,6,8477429_8478366_8479291,8474027_8479323,8480382,8471675_8477404_8477953,8476875_8478507,8475839,6,5on5,0.18319984489740615,0.18319984489740615
8471675,8480382,0,5,86.0,-9.0,2723,SHOT,Backhand,2021030143,6,8477429_8478366_8479291,8474027_8479323,8480382,8471675_8477404_8477953,8476875_8478507,8475839,6,5on5,0.1379472334786619,0.1379472334786619
8477953,0,0,5,82.0,7.0,2733,MISSED_SHOT,none,2021030143,6,8477429_8478366_8479291,8474027_8479323,8480382,8471675_8477404_8477953,8476875_8478507,8475839,6,5on5,0.0,0.0
8471724,8480382,0,5,34.0,-21.0,2765,SHOT,Slap Shot,2021030143,6,8480078_8481554_8482109,8475747_8482073,8480382,8471215_8477953_8478046,8471724_8477969,8475839,6,5on5,0.04871501831583014,0.04871501831583014
8476458,0,8478507,3,-68.0,-2.0,2831,BLOCKED_SHOT,none,2021030143,6,8475184_8476458_8476459_8478550,8479323,8480382,8476927_8476934,8477244_8478507,8475839,5,5on4,0.0,0.0
8478542,0,0,5,63.0,-1.0,2949,MISSED_SHOT,none,2021030143,6,8471817_8478211_8479291,8474027_8480817,8480382,8471675_8477404_8478542,8476875_8478017,8475839,6,5on5,0.0,0.0
8477404,8480382,0,5,91.0,-18.0,2953,SHOT,Wrist Shot,2021030143,6,8471817_8478211_8479291,8474027_8480817,8480382,8471675_8477404_8478542,8476875_8478017,8475839,6,5on5,0.07590597138396238,0.07590597138396238
8471675,0,8479291,5,72.0,1.0,2955,BLOCKED_SHOT,none,2021030143,6,8471817_8478211_8479291,8474027_8480817,8480382,8471675_8477404_8478542,8476875_8478017,8475839,6,5on5,0.0,0.0
8476934,0,0,5,69.0,13.0,2988,MISSED_SHOT,none,2021030143,6,8476458_8477429_8478550,8476885_8479323,8480382,8470604_8475722_8476934,8471724_8477969,8475839,6,5on5,0.0,0.0
8477429,8475839,0,3,-59.0,0.0,3001,SHOT,Wrist Shot,2021030143,6,8476458_8477429_8478550,8475747_8476885,8480382,8470604_8475722_8476934,8471724_8477969,8475839,6,5on5,0.11358788524262109,0.11358788524262109
8482073,8475839,0,3,-41.0,-6.0,3018,SHOT,Wrist Shot,2021030143,6,8476458_8477429_8478550,8475747_8482073,8480382,8470604_8475722_8476934,8471724_8477969,8475839,6,5on5,0.06377202487860323,0.06377202487860323
8478550,8475839,0,3,-69.0,-20.0,3021,SHOT,Slap Shot,2021030143,6,8476459_8477429_8478550,8475747_8482073,8480382,8470604_8475722_8476934,8471724_8477969,8475839,6,5on5,0.1123653548020006,0.1123653548020006
8476875,8480382,0,5,61.0,15.0,3058,SHOT,Snap Shot,2021030143,6,8475184_8476459_8478366,8475747_8482073,8480382,8471215_8477953_8478046,8476875_8477244,8475839,6,5on5,0.12245569678585311,0.12245569678585311
8478046,8480382,0,5,75.0,-10.0,3062,GOAL,Wrist Shot,2021030143,6,8480078_8481554_8482109,8476885_8480817,8480382,8471675_8475810_8477404,8477969_8478507,8475839,6,5on5,0.15485252939458582,0.15485252939458582
8477969,0,0,5,37.0,16.0,3089,MISSED_SHOT,none,2021030143,6,8480078_8481554_8482109,8476885_8480817,8480382,8471675_8475810_8477404,8477969_8478507,8475839,6,5on5,0.0,0.0
8470604,8480382,0,5,80.0,-31.0,3124,SHOT,Wrist Shot,2021030143,6,8476458_8477429_8478550,8474027_8479323,8480382,8470604_8475722_8476934,8471724_8476875,8475839,6,5on5,0.02437698352840678,0.02437698352840678
8476934,8480382,0,5,85.0,2.0,3127,SHOT,Wrist Shot,2021030143,6,8476458_8477429_8478550,8474027_8479323,8480382,8470604_8475722_8476934,8471724_8476875,8475839,6,5on5,0.20347330476115888,0.20347330476115888
8471215,8480382,0,5,85.0,8.0,3142,SHOT,Wrist Shot,2021030143,6,8476458_8477429_8478550,8474027_8479323,8480382,8471215_8477953_8478046,8471724_8476875,8475839,6,5on5,0.16973035160024386,0.16973035160024386
8470604,8480382,0,5,43.0,8.0,3186,SHOT,Wrist Shot,2021030143,6,8475184_8476459_8478366,8474027_8479323,8480382,8470604_8475722_8476934,8477969_8478507,8475839,6,5on5,0.07502279564948844,0.07502279564948844
